title,date,Fear,Optimism,Anger,Joy,Trust,Despair,Economic Security,Uncertainty,Fear for the future,sp500_close_today,sp500_close_next_day,sp500_close_next_week,Next_Day_Change,Next_Week_Change,Next_Day_Status,Next_Week_Status
‘Nobody listened’: bereaved sister’s evidence to Essex mental health inquiry,2022-03-27,1,0,1,0,0,1,0,1,1,,[4575.52001953],,,,ללא שינוי,ללא שינוי
"Inquiry investigates deaths of 1,500 NHS mental health patients in Essex",2022-03-27,0,0,1,0,0,1,0,1,1,,[4575.52001953],,,,ללא שינוי,ללא שינוי
"Prioritise mental health support for Ukrainians arriving in UK, experts say",2022-03-20,1,0,0,0,0,0,0,1,1,,[4461.18017578],,,,ללא שינוי,ללא שינוי
"Mental health issues more common among young Australians, national survey suggests",2022-03-21,1,0,0,0,0,1,0,1,1,[4461.18017578],[4511.60986328],[4575.52001953],[50.4296875],[114.33984375],עלייה,עלייה
Cost of living crisis hitting economic outlook as firms hike prices – as it happened,2022-03-24,1,0,1,0,0,1,0,1,1,[4520.16015625],[4543.06005859],[4530.41015625],[22.89990234],[10.25],עלייה,עלייה
"Milk sachets, chicken, fuel: basics slip out of reach for Sri Lankans as economic crisis bites ",2022-03-02,1,0,1,0,0,1,0,1,1,[4386.54003906],[4363.49023438],[4277.87988281],[-23.04980469],[-108.66015625],ירידה,ירידה
After partygate: Tory government goes from crisis to crisis,2022-03-27,1,0,1,0,0,1,0,1,1,,[4575.52001953],,,,ללא שינוי,ללא שינוי
Josh Frydenberg announces ‘targeted’ cost of living measures ahead of federal budget,2022-03-17,0,1,0,0,0,0,1,1,1,[4411.66992188],[4463.12011719],[4520.16015625],[51.45019531],[108.49023438],עלייה,עלייה
Rishi Sunak: crisis after crisis has been ‘not great’ for Boris Johnson,2022-03-18,0,0,0,0,0,0,1,1,1,[4463.12011719],,[4543.06005859],,[79.93994141],ללא שינוי,עלייה
Russia’s stock market rallies in first day of trading since Ukraine war,2022-03-24,0,0,1,0,0,0,0,1,1,[4520.16015625],[4543.06005859],[4530.41015625],[22.89990234],[10.25],עלייה,עלייה
Inflation pressures hit consumer confidence; Moscow stock market falls back – as it happened,2022-03-25,1,0,0,0,0,1,0,1,1,[4543.06005859],,[4545.85986328],,[2.79980469],ללא שינוי,עלייה
Ukraine war a ‘catastrophe’ for global economy as stock markets plunge,2022-03-04,1,0,0,0,0,1,0,1,1,[4328.87011719],,[4204.31005859],,[-124.56005859],ללא שינוי,ירידה
"Stock markets rally on Russia-Ukraine talks, oil prices dip – as it happened",2022-03-29,1,1,1,0,0,0,0,1,1,[4631.60009766],[4602.45019531],[4525.12011719],[-29.14990234],[-106.47998047],ירידה,ירידה
London Stock Exchange suspends trading in more Russian firms,2022-03-04,1,0,0,0,0,1,0,1,1,[4328.87011719],,[4204.31005859],,[-124.56005859],ללא שינוי,ירידה
Rishi Sunak ‘protecting Treasury from inflation at families’ expense’ ,2022-03-27,1,0,1,0,0,0,0,1,1,,[4575.52001953],,,,ללא שינוי,ללא שינוי
How to find inflation-busting wine that’s worth drinking | Fiona Beckett on drinks,2022-03-18,0,1,0,0,0,0,1,1,0,[4463.12011719],,[4543.06005859],,[79.93994141],ללא שינוי,עלייה
"UK facing double-digit inflation, John Lewis head predicts",2022-03-17,1,0,0,0,0,0,0,1,1,[4411.66992188],[4463.12011719],[4520.16015625],[51.45019531],[108.49023438],עלייה,עלייה
What’s my personal inflation rate? We ask an expert,2022-03-11,1,0,0,0,0,0,0,1,1,[4204.31005859],,[4463.12011719],,[258.81005859],ללא שינוי,עלייה
"UK inflation hits 6.2%, the highest level in three decades",2022-03-23,1,0,1,0,0,0,0,1,1,[4456.24023438],[4520.16015625],[4602.45019531],[63.91992188],[146.20996094],עלייה,עלייה
This is Rishi Sunak’s chance to stop a recession; any delay and it will be too late | Larry Elliott,2022-03-20,1,0,1,0,0,1,0,1,1,,[4461.18017578],,,,ללא שינוי,ללא שינוי
Recessions tend to follow oil price surges – will this time be different?,2022-03-02,1,0,0,0,0,0,0,1,1,[4386.54003906],[4363.49023438],[4277.87988281],[-23.04980469],[-108.66015625],ירידה,ירידה
UK to phase out Russian oil imports by 2023 and explore ending gas imports,2022-03-08,1,0,1,0,0,0,1,1,1,[4170.70019531],[4277.87988281],[4262.45019531],[107.1796875],[91.75],עלייה,עלייה
Bank of England set for tough call on interest rates after US rise,2022-03-16,1,0,0,0,0,0,0,1,1,[4357.85986328],[4411.66992188],[4456.24023438],[53.81005859],[98.38037109],עלייה,עלייה
How has the UK economy fared in the two tumultuous years since Covid?,2022-03-23,1,0,0,0,0,0,0,1,1,[4456.24023438],[4520.16015625],[4602.45019531],[63.91992188],[146.20996094],עלייה,עלייה
Ofsted downgrades American School in London over focus on social justice,2022-03-07,0,0,1,0,0,0,0,1,1,[4201.08984375],[4170.70019531],[4173.10986328],[-30.38964844],[-27.97998047],ירידה,ירידה
‘A story of social justice’: a history of racial segregation and swimming,2022-03-23,1,1,1,1,0,1,0,0,0,[4456.24023438],[4520.16015625],[4602.45019531],[63.91992188],[146.20996094],עלייה,עלייה
US supreme court justice Clarence Thomas in hospital with infection,2022-03-21,1,1,0,0,0,0,0,1,0,[4461.18017578],[4511.60986328],[4575.52001953],[50.4296875],[114.33984375],עלייה,עלייה
Stephen Collins on social media ‘experts’ – cartoon,2022-03-12,0,0,0,0,0,0,0,0,0,,,,,,ללא שינוי,ללא שינוי
Bolivian victims of dictatorships still waiting for justice: ‘We are forgotten’,2022-03-30,0,0,1,0,0,1,0,1,1,[4602.45019531],[4530.41015625],[4481.14990234],[-72.04003906],[-121.30029297],ירידה,ירידה
The Guardian view on police reform: a national imperative | Editorial,2022-03-13,1,0,1,0,0,1,0,1,1,,[4173.10986328],,,,ללא שינוי,ללא שינוי
"UK police must do more on misogyny and racism, says head of Scottish force",2022-03-21,1,0,1,0,0,0,0,1,0,[4461.18017578],[4511.60986328],[4575.52001953],[50.4296875],[114.33984375],עלייה,עלייה
Scotland’s gender recognition reform bill to be published amid growing tensions,2022-03-02,1,0,1,0,0,0,0,1,1,[4386.54003906],[4363.49023438],[4277.87988281],[-23.04980469],[-108.66015625],ירידה,ירידה
Policing in Scotland has been radically reformed – all UK forces can learn from us | Iain Livingstone,2022-03-21,0,1,0,0,1,0,0,1,1,[4461.18017578],[4511.60986328],[4575.52001953],[50.4296875],[114.33984375],עלייה,עלייה
‘We will not be silent’: prominent women press Morrison government for violence and harassment reform,2022-03-06,1,1,1,0,0,0,0,1,1,,[4201.08984375],,,,ללא שינוי,ללא שינוי
"Climate change fundamentally affecting European birds, study shows ",2022-03-10,1,0,0,0,0,0,0,1,1,[4259.52001953],[4204.31005859],[4411.66992188],[-55.20996094],[152.14990234],ירידה,עלייה
Climate change spat splits Lismore council in flood aftermath,2022-03-23,0,0,1,0,0,0,0,1,1,[4456.24023438],[4520.16015625],[4602.45019531],[63.91992188],[146.20996094],עלייה,עלייה
Chile’s archaeologists fight to save the world’s oldest mummies from climate change,2022-03-26,1,1,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
Climate groups say a change in coding can reduce bitcoin energy consumption by 99%,2022-03-29,1,0,1,0,0,0,0,1,1,[4631.60009766],[4602.45019531],[4525.12011719],[-29.14990234],[-106.47998047],ירידה,ירידה
Josh Frydenberg open to intervening in insurance market as climate change pushes up premiums,2022-03-18,1,0,0,0,0,0,1,1,1,[4463.12011719],,[4543.06005859],,[79.93994141],ללא שינוי,עלייה
Six promises you can make to help reduce carbon emissions,2022-03-07,1,1,0,0,0,0,0,0,1,[4201.08984375],[4170.70019531],[4173.10986328],[-30.38964844],[-27.97998047],ירידה,ירידה
How wild animals can help control the climate crisis,2022-03-19,0,1,0,0,0,0,0,0,1,,,,,,ללא שינוי,ללא שינוי
"Six key lifestyle changes can help avert the climate crisis, study finds",2022-03-07,1,1,0,1,0,1,0,1,1,[4201.08984375],[4170.70019531],[4173.10986328],[-30.38964844],[-27.97998047],ירידה,ירידה
Is Australia really beating other countries at cutting emissions? | Graham Readfearn,2022-03-16,0,0,1,0,0,0,0,1,1,[4357.85986328],[4411.66992188],[4456.24023438],[53.81005859],[98.38037109],עלייה,עלייה
US watchdog plans to make companies reveal greenhouse-gas emissions,2022-03-21,0,0,1,0,0,0,1,1,1,[4461.18017578],[4511.60986328],[4575.52001953],[50.4296875],[114.33984375],עלייה,עלייה
Redspice: budget ushers in Australia’s ‘biggest ever’ cybersecurity spend,2022-03-29,1,0,0,0,0,0,0,1,1,[4631.60009766],[4602.45019531],[4525.12011719],[-29.14990234],[-106.47998047],ירידה,ירידה
UK data watchdog urges vigilance amid heightened cyber threat,2022-03-04,1,0,0,0,0,0,0,1,1,[4328.87011719],,[4204.31005859],,[-124.56005859],ללא שינוי,ירידה
Small businesses offered bonus tax deductions on technology and training in federal budget,2022-03-29,0,1,0,0,1,0,1,0,0,[4631.60009766],[4602.45019531],[4525.12011719],[-29.14990234],[-106.47998047],ירידה,ירידה
How the tech community has rallied to Ukraine’s cyber-defence | Joyce Hakmeh and Esther Naylor,2022-03-07,1,1,1,0,1,0,0,1,1,[4201.08984375],[4170.70019531],[4173.10986328],[-30.38964844],[-27.97998047],ירידה,ירידה
"‘Catastrophic’ cyberwar between Ukraine and Russia hasn’t happened (yet), experts say",2022-03-09,1,0,0,0,0,0,0,1,1,[4277.87988281],[4259.52001953],[4357.85986328],[-18.35986328],[79.97998047],ירידה,עלייה
UK economy grows faster than expected; prices drop as US mulls big oil reserve release – as it happened,2022-03-31,1,0,0,0,0,0,0,1,1,[4530.41015625],[4545.85986328],[4500.20996094],[15.44970703],[-30.20019531],עלייה,ירידה
What happens when a major economy can’t pay its debts in dollars? Russia is about to show us | Adam Tooze,2022-03-17,1,0,1,0,0,0,0,1,1,[4411.66992188],[4463.12011719],[4520.16015625],[51.45019531],[108.49023438],עלייה,עלייה
Post-lockdown spending spree helps Australia’s economy rebound,2022-03-02,0,1,0,0,0,0,1,1,0,[4386.54003906],[4363.49023438],[4277.87988281],[-23.04980469],[-108.66015625],ירידה,ירידה
Russia’s central bank head ‘is mourning for her economy’,2022-03-05,1,0,0,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
Handmade tale: the booming revolution reaping rewards for Australia’s regional economy,2022-03-18,0,1,0,1,1,0,1,0,0,[4463.12011719],,[4543.06005859],,[79.93994141],ללא שינוי,עלייה
Biden in Poland for meetings on Ukraine refugee crisis – US politics as it happened,2022-03-25,1,0,1,0,0,0,0,1,1,[4543.06005859],,[4545.85986328],,[2.79980469],ללא שינוי,עלייה
 ‘I’m not walking anything back’: Biden defends comment that Putin can’t stay in power – US politics as it happened,2022-03-28,1,0,1,0,0,0,0,1,1,[4575.52001953],[4631.60009766],[4582.64013672],[56.08007812],[7.12011719],עלייה,עלייה
"The Fiver | Manchester United and some top, top politics",2022-03-15,0,1,1,0,0,0,0,1,0,[4262.45019531],[4357.85986328],[4511.60986328],[95.40966797],[249.15966797],עלייה,עלייה
"Afghanistan needs compassion from world leaders, not politics | Letter",2022-03-29,0,0,1,0,0,1,0,1,1,[4631.60009766],[4602.45019531],[4525.12011719],[-29.14990234],[-106.47998047],ירידה,ירידה
Clarence Thomas: supreme court could be ‘compromised’ by politics,2022-03-12,1,0,1,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
Barr: Trump should not be president but ‘lesser of two evils’ compared to US left,2022-03-13,1,0,0,0,0,0,0,1,1,,[4173.10986328],,,,ללא שינוי,ללא שינוי
Ukraine president decries Mariupol hospital bombing ‘genocide’ as US $13bn aid bill passes first hurdle,2022-03-10,1,0,1,0,0,1,0,1,1,[4259.52001953],[4204.31005859],[4411.66992188],[-55.20996094],[152.14990234],ירידה,עלייה
Ukraine president’s plea to EU: prove that you are with us,2022-03-01,1,1,1,0,0,1,0,1,1,[4306.25976562],[4386.54003906],[4170.70019531],[80.28027344],[-135.55957031],עלייה,ירידה
Peruvian court approves prison release of ex-president Alberto Fujimori,2022-03-17,0,0,1,0,0,0,0,1,1,[4411.66992188],[4463.12011719],[4520.16015625],[51.45019531],[108.49023438],עלייה,עלייה
South Korea’s poisonous gender politics a test for next president,2022-03-07,0,0,1,0,0,1,0,1,1,[4201.08984375],[4170.70019531],[4173.10986328],[-30.38964844],[-27.97998047],ירידה,ירידה
Let us know about the local issues that will decide your vote in the 2022 federal election,2022-04-21,0,0,0,0,0,0,0,1,0,[4393.66015625],[4271.77978516],[4287.5],[-121.88037109],[-106.16015625],ירידה,ירידה
‘It will be tough for us’: Lib Dems fight for ‘footholds’ in local elections,2022-04-18,0,1,1,0,0,0,0,1,1,[4391.68994141],[4462.20996094],[4296.12011719],[70.52001953],[-95.56982422],עלייה,ירידה
Macron dodges tomatoes in post-election walkabout,2022-04-27,0,1,1,0,0,0,0,1,1,[4183.95996094],[4287.5],[4300.16992188],[103.54003906],[116.20996094],עלייה,עלייה
French election 2022: full second round results,2022-04-24,0,0,0,0,0,0,0,1,1,,[4296.12011719],,,,ללא שינוי,ללא שינוי
French election 2022: full first-round results,2022-04-10,0,0,0,0,0,0,0,1,0,,[4412.52978516],,,,ללא שינוי,ללא שינוי
The Observer view on the French presidential election | Observer editorial,2022-04-17,1,0,0,0,0,0,0,1,1,,[4391.68994141],,,,ללא שינוי,ללא שינוי
What the presidential election really revealed about fractured France | Jérôme Fourquet,2022-04-28,1,0,1,0,0,0,0,1,1,[4287.5],[4131.93017578],[4146.87011719],[-155.56982422],[-140.62988281],ירידה,ירידה
"French presidential election could see historically low turnout, pollsters say",2022-04-09,0,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
France presidential election 2022: Macron to face Le Pen in second round – as it happened,2022-04-10,1,1,1,0,0,0,0,1,1,,[4412.52978516],,,,ללא שינוי,ללא שינוי
"Jean-Marie Le Pen shocks France by coming second in the 2002 presidential elections – archive, 2002",2022-04-20,1,0,1,0,0,1,0,1,1,[4459.45019531],[4393.66015625],[4183.95996094],[-65.79003906],[-275.49023438],ירידה,ירידה
French election 2022: full second round results,2022-04-24,0,0,0,0,0,0,0,1,1,,[4296.12011719],,,,ללא שינוי,ללא שינוי
French election 2022: full first-round results,2022-04-10,0,0,0,0,0,0,0,1,0,,[4412.52978516],,,,ללא שינוי,ללא שינוי
France election: polls open as Macron and Le Pen battle for presidency ,2022-04-24,0,0,0,0,0,0,0,1,1,,[4296.12011719],,,,ללא שינוי,ללא שינוי
Macron dodges tomatoes in post-election walkabout,2022-04-27,0,1,1,0,0,0,0,1,1,[4183.95996094],[4287.5],[4300.16992188],[103.54003906],[116.20996094],עלייה,עלייה
France faces bruising runoff after Macron and Le Pen top first-round vote,2022-04-10,1,0,1,0,0,0,0,1,1,,[4412.52978516],,,,ללא שינוי,ללא שינוי
France election: polls open as Macron and Le Pen battle for presidency ,2022-04-24,0,0,0,0,0,0,0,1,1,,[4296.12011719],,,,ללא שינוי,ללא שינוי
‘We shouldn’t get involved’: Ukraine a key issue as Hungary heads to polls,2022-04-01,0,0,1,0,0,1,0,1,1,[4545.85986328],,[4488.27978516],,[-57.58007812],ללא שינוי,ירידה
Scottish Labour sees chance of revival as polls show voters turn from Tories,2022-04-09,0,1,1,0,0,0,0,1,0,,,,,,ללא שינוי,ללא שינוי
Macron urges voters to turn out for election first round as polls tighten,2022-04-04,1,0,0,0,0,0,0,1,1,[4582.64013672],[4525.12011719],[4412.52978516],[-57.52001953],[-170.11035156],ירידה,ירידה
French election polls: who is leading the race to be the next president of France?,2022-04-14,0,0,0,0,0,0,0,1,1,[4392.58984375],,[4393.66015625],,[1.0703125],ללא שינוי,עלייה
Russia’s latest military failures polarise society even more,2022-04-20,0,0,1,0,0,1,0,1,1,[4459.45019531],[4393.66015625],[4183.95996094],[-65.79003906],[-275.49023438],ירידה,ירידה
Nuclear powers are on a deadly path to more conflict | Letter,2022-04-07,1,0,1,0,0,1,0,0,1,[4500.20996094],[4488.27978516],[4392.58984375],[-11.93017578],[-107.62011719],ירידה,ירידה
Further arming Ukraine will only destroy it. The west must act to end this war now | Angus Roxburgh,2022-04-27,1,0,0,0,0,1,0,1,1,[4183.95996094],[4287.5],[4300.16992188],[103.54003906],[116.20996094],עלייה,עלייה
Germany announces military aid for Ukraine – as it happened,2022-04-16,1,1,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
UK to announce fresh military aid package for Ukraine,2022-04-07,0,1,0,0,0,0,0,1,1,[4500.20996094],[4488.27978516],[4392.58984375],[-11.93017578],[-107.62011719],ירידה,ירידה
Biden’s record defense budget draws progressive ire over spending priorities,2022-04-03,0,0,1,0,0,0,0,1,1,,[4582.64013672],,,,ללא שינוי,ללא שינוי
Seed banks: the last line of defense against a threatening global food crisis ,2022-04-15,1,1,0,0,0,0,0,1,1,,,[4271.77978516],,,ללא שינוי,ללא שינוי
"Malcolm Nance, TV pundit turned fighter in Ukraine: ‘I believe in the defense of democracy’",2022-04-29,1,0,1,0,0,0,0,1,1,[4131.93017578],,[4123.33984375],,[-8.59033203],ללא שינוי,ירידה
Republicans in Congress give McCarthy standing ovation for defense of leaked audio – as it happened,2022-04-27,1,0,1,1,0,0,0,1,1,[4183.95996094],[4287.5],[4300.16992188],[103.54003906],[116.20996094],עלייה,עלייה
Georgina Hayden’s healthy budget dishes for kids – recipes,2022-04-30,0,1,0,1,0,0,0,0,0,,,,,,ללא שינוי,ללא שינוי
UK military vaults upgraded to store new US nuclear weapons,2022-04-12,1,0,0,0,0,1,0,1,1,[4397.45019531],[4446.58984375],[4462.20996094],[49.13964844],[64.75976562],עלייה,עלייה
"US disrupts global ‘botnet’ controlled by Russian military intelligence, DoJ says",2022-04-06,1,1,1,0,1,0,0,0,1,[4481.14990234],[4500.20996094],[4446.58984375],[19.06005859],[-34.56005859],עלייה,ירידה
US warns Solomon Islands against China military base as Australian MPs trade blame,2022-04-23,1,0,1,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
US military leader warns Chinese security deal with Solomon Islands sounds ‘too good to be true’,2022-04-13,1,0,0,0,0,0,0,1,1,[4446.58984375],[4392.58984375],[4459.45019531],[-54.],[12.86035156],ירידה,עלייה
The first shipments of a new US military aid package arrive at Ukraine’s borders – as it happened,2022-04-19,1,0,1,0,0,1,0,1,1,[4462.20996094],[4459.45019531],[4175.20019531],[-2.75976562],[-287.00976562],ירידה,ירידה
The Guardian view on Putin’s nuclear threats: Russia is losing in Ukraine | Editorial,2022-04-29,1,0,1,0,0,0,0,1,1,[4131.93017578],,[4123.33984375],,[-8.59033203],ללא שינוי,ירידה
UK energy strategy’s nuclear dangers and glaring omissions | Letters,2022-04-10,1,0,1,0,0,0,0,1,1,,[4412.52978516],,,,ללא שינוי,ללא שינוי
"Time running out to reach Iran nuclear deal, warn experts ",2022-04-26,1,0,0,0,0,1,0,1,1,[4175.20019531],[4183.95996094],[4175.47998047],[8.75976562],[0.27978516],עלייה,עלייה
Manchester United’s Harry Maguire receives bomb threat to his home,2022-04-21,1,0,1,0,0,0,0,1,0,[4393.66015625],[4271.77978516],[4287.5],[-121.88037109],[-106.16015625],ירידה,ירידה
Johnson to ‘bet big’ on nuclear energy despite Sunak’s reservations,2022-04-02,0,0,0,0,0,0,1,1,1,,,,,,ללא שינוי,ללא שינוי
Healthcare workers in the UK: what is the situation like where you are?,2022-04-25,1,0,0,0,0,0,0,1,1,[4296.12011719],[4175.20019531],[4155.37988281],[-120.91992188],[-140.74023438],ירידה,ירידה
Inquest into Aboriginal woman’s death in custody to examine healthcare in Victoria’s prisons,2022-04-25,0,0,1,0,0,1,0,1,1,[4296.12011719],[4175.20019531],[4155.37988281],[-120.91992188],[-140.74023438],ירידה,ירידה
Vulnerable Australians missing out on healthcare as insufficient Medicare rebate drives GP shortage,2022-04-30,0,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
"Ruston will ‘take the universal out of universal healthcare’, Labor says – as it happened",2022-04-17,1,0,1,0,0,0,0,1,1,,[4391.68994141],,,,ללא שינוי,ללא שינוי
 This healthcare practice robs many seniors of vitality and life in their twilight years | Ranjana Srivastava,2022-04-05,1,1,1,1,0,1,0,1,1,[4525.12011719],[4481.14990234],[4397.45019531],[-43.97021484],[-127.66992188],ירידה,ירידה
Nancy Pelosi tests positive for Covid-19,2022-04-07,1,0,0,0,0,0,0,1,0,[4500.20996094],[4488.27978516],[4392.58984375],[-11.93017578],[-107.62011719],ירידה,ירידה
External blood oxygenation saved hundreds of Covid-19 sufferers – study,2022-04-29,0,1,0,0,1,0,0,1,0,[4131.93017578],,[4123.33984375],,[-8.59033203],ללא שינוי,ירידה
"Psaki, Garland, Pelosi: Covid-19 spreads among leading Democrats and Biden officials",2022-04-08,1,0,0,0,0,0,0,1,1,[4488.27978516],,,,,ללא שינוי,ללא שינוי
Covid-19: India accused of trying to delay WHO revision of death toll,2022-04-18,1,0,1,0,0,0,0,1,1,[4391.68994141],[4462.20996094],[4296.12011719],[70.52001953],[-95.56982422],עלייה,ירידה
AstraZeneca boss calls for UK to provide new Covid-19 medicine to the vulnerable,2022-04-29,0,0,1,0,0,1,0,1,0,[4131.93017578],,[4123.33984375],,[-8.59033203],ללא שינוי,ירידה
The new rules for post-pandemic restaurants,2022-04-24,1,1,1,1,0,0,0,1,1,,[4296.12011719],,,,ללא שינוי,ללא שינוי
Pandemic disrupted routine vaccinations of US kindergarteners,2022-04-21,1,0,0,0,0,0,0,1,1,[4393.66015625],[4271.77978516],[4287.5],[-121.88037109],[-106.16015625],ירידה,ירידה
"British camping holidays boom in pandemic, figures show",2022-04-14,0,0,0,0,0,0,1,1,0,[4392.58984375],,[4393.66015625],,[1.0703125],ללא שינוי,עלייה
Australian Grand Prix allows Melbourne to set aside pandemic | Kieran Pender,2022-04-10,0,1,1,1,0,0,0,1,1,,[4412.52978516],,,,ללא שינוי,ללא שינוי
"Dr Ashley Bloomfield, who led New Zealand’s pandemic response, resigns",2022-04-06,0,1,0,0,1,0,0,1,0,[4481.14990234],[4500.20996094],[4446.58984375],[19.06005859],[-34.56005859],עלייה,ירידה
German government drops plan for Covid vaccine mandate,2022-04-08,1,0,1,0,0,1,0,1,1,[4488.27978516],,,,,ללא שינוי,ללא שינוי
Valneva approved to be UK’s sixth Covid vaccine,2022-04-14,0,1,0,0,0,0,0,1,0,[4392.58984375],,[4393.66015625],,[1.0703125],ללא שינוי,עלייה
Victoria stands down 420 public school teachers over vaccine mandates,2022-04-27,0,0,0,0,0,0,1,1,1,[4183.95996094],[4287.5],[4300.16992188],[103.54003906],[116.20996094],עלייה,עלייה
Revealed: autism charity chief has links to anti-vaccine movement,2022-04-09,1,0,1,0,0,0,0,1,1,,,,,,ללא שינוי,ללא שינוי
Covid vaccine inequity due to ‘racism rooted in slavery and colonialism’,2022-04-30,0,0,1,0,0,1,0,1,1,,,,,,ללא שינוי,ללא שינוי
The Guardian view on mental health privatisation: unsafe spaces | Editorial,2022-04-25,1,0,1,0,0,1,0,1,1,[4296.12011719],[4175.20019531],[4155.37988281],[-120.91992188],[-140.74023438],ירידה,ירידה
Private mental health hospitals repeatedly criticised for unsafe care,2022-04-25,1,0,1,0,0,1,0,1,1,[4296.12011719],[4175.20019531],[4155.37988281],[-120.91992188],[-140.74023438],ירידה,ירידה
‘Woeful scarcity’: NHS psychiatrist decries lack of mental health beds,2022-04-24,1,0,1,0,0,1,0,1,1,,[4296.12011719],,,,ללא שינוי,ללא שינוי
Fatal gaps in NHS mental health services and cancer care | Letters,2022-04-06,1,0,1,0,0,1,0,1,1,[4481.14990234],[4500.20996094],[4446.58984375],[19.06005859],[-34.56005859],עלייה,ירידה
Patients pay a price for shortage of NHS mental health beds  | Letters,2022-04-25,1,0,1,0,0,1,0,1,1,[4296.12011719],[4175.20019531],[4155.37988281],[-120.91992188],[-140.74023438],ירידה,ירידה
Sri Lanka faces medical emergency as economic crisis hits drug supplies,2022-04-05,1,0,1,0,0,1,0,1,1,[4525.12011719],[4481.14990234],[4397.45019531],[-43.97021484],[-127.66992188],ירידה,ירידה
Sri Lanka: 50 injured as protesters try to storm president’s house amid economic crisis,2022-04-01,0,0,1,0,0,1,0,1,1,[4545.85986328],,[4488.27978516],,[-57.58007812],ללא שינוי,ירידה
Sri Lanka: One dead and several wounded as police shoot protesters,2022-04-19,1,0,1,0,0,1,0,1,1,[4462.20996094],[4459.45019531],[4175.20019531],[-2.75976562],[-287.00976562],ירידה,ירידה
"Sri Lanka facing imminent threat of starvation, senior politician warns",2022-04-06,1,0,1,0,0,1,0,1,1,[4481.14990234],[4500.20996094],[4446.58984375],[19.06005859],[-34.56005859],עלייה,ירידה
Closer inspection of UK jobs market reveals economic scars of Covid | Larry Elliott,2022-04-12,1,0,1,0,0,1,0,1,1,[4397.45019531],[4446.58984375],[4462.20996094],[49.13964844],[64.75976562],עלייה,עלייה
Can I make an ethical killing on the stock market? We ask an expert,2022-04-22,0,0,1,0,0,1,0,1,1,[4271.77978516],,[4131.93017578],,[-139.84960938],ללא שינוי,ירידה
Closer inspection of UK jobs market reveals economic scars of Covid | Larry Elliott,2022-04-12,1,0,1,0,0,1,0,1,1,[4397.45019531],[4446.58984375],[4462.20996094],[49.13964844],[64.75976562],עלייה,עלייה
Electric car cost advantage over petrol grows amid energy market turmoil,2022-04-24,0,1,0,0,0,0,1,1,0,,[4296.12011719],,,,ללא שינוי,ללא שינוי
UK firms report fastest growth in labour market since pre-pandemic,2022-04-10,0,1,0,0,0,0,0,1,1,,[4412.52978516],,,,ללא שינוי,ללא שינוי
American dream: when Australian sport tries to crack the US market,2022-04-19,0,1,0,0,0,0,0,1,0,[4462.20996094],[4459.45019531],[4175.20019531],[-2.75976562],[-287.00976562],ירידה,ירידה
New Zealand shoppers order groceries from Australia as inflation soars,2022-04-21,1,0,1,0,0,0,0,1,1,[4393.66015625],[4271.77978516],[4287.5],[-121.88037109],[-106.16015625],ירידה,ירידה
Inflation bites hardest in developing world as Ukraine war raises prices,2022-04-29,1,0,1,0,0,1,0,1,1,[4131.93017578],,[4123.33984375],,[-8.59033203],ללא שינוי,ירידה
Shopping around grocery inflation: the best-value buys for autumn,2022-04-10,1,1,0,0,0,0,0,1,1,,[4412.52978516],,,,ללא שינוי,ללא שינוי
Barclays warns inflation and cost of living crisis is hurting customers,2022-04-28,1,0,0,0,0,0,0,1,1,[4287.5],[4131.93017578],[4146.87011719],[-155.56982422],[-140.62988281],ירידה,ירידה
"Unprecedented inflation ahead as Ukraine war adds to costs, says Unilever",2022-04-28,1,0,0,0,0,0,0,1,1,[4287.5],[4131.93017578],[4146.87011719],[-155.56982422],[-140.62988281],ירידה,ירידה
"Britain could fall into recession this summer, say experts",2022-04-18,1,0,0,0,0,0,0,1,1,[4391.68994141],[4462.20996094],[4296.12011719],[70.52001953],[-95.56982422],עלייה,ירידה
"Ban on Russian gas would plunge Germany into recession, warns Bundesbank",2022-04-22,1,0,0,0,0,0,0,1,1,[4271.77978516],,[4131.93017578],,[-139.84960938],ללא שינוי,ירידה
"Russia heading for worst recession since end of cold war, says UK",2022-04-08,1,0,0,0,0,1,0,1,1,[4488.27978516],,,,,ללא שינוי,ללא שינוי
Eurozone faces stagflation as prices surge; Russia cuts interest rates as recession looms – as it happened,2022-04-29,1,0,0,0,0,0,0,1,1,[4131.93017578],,[4123.33984375],,[-8.59033203],ללא שינוי,ירידה
"Russia heading for deepest recession since Soviet collapse, UK warns, as inflation jumps – as it happened",2022-04-08,1,0,1,0,0,1,0,1,1,[4488.27978516],,,,,ללא שינוי,ללא שינוי
Jimmy Kimmel on Trump’s Truth Social: ‘The social media equivalent of a RadioShack’,2022-04-27,0,0,1,0,0,0,0,1,1,[4183.95996094],[4287.5],[4300.16992188],[103.54003906],[116.20996094],עלייה,עלייה
